github.com/AlDanial/cloc v 2.06  T=22.46 s (346.9 files/s, 62200.7 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                         blank        comment           code
./server/sonar-ce-task-projectanalysis/src/it/java/org/sonar/ce/task/projectanalysis/step/PersistIssuesStepIT.java                                                                                              88             20            663
./server/sonar-process/src/test/java/org/sonar/process/logging/Log4JPropertiesBuilderTest.java                                                                                                                 126             19            652
./server/sonar-webserver-webapi/src/main/java/org/sonar/server/hotspot/ws/SearchAction.java                                                                                                                     90             23            644
./server/sonar-webserver-webapi/src/main/java/org/sonar/server/measure/ws/ComponentTreeAction.java                                                                                                              77             47            637
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/qualityprofile/QProfileBackuperImplIT.java                                                                                                         89             19            636
./server/sonar-ce/src/it/java/org/sonar/ce/taskprocessor/CeWorkerImplIT.java                                                                                                                                   123             23            635
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/issue/ws/SearchActionComponentsIT.java                                                                                                             82             34            632
./server/sonar-db-dao/src/it/java/org/sonar/db/portfolio/PortfolioDaoIT.java                                                                                                                                   128             19            628
./server/sonar-ce-task-projectanalysis/src/test/java/org/sonar/ce/task/projectanalysis/notification/NotificationFactoryTest.java                                                                               122             19            626
./server/sonar-webserver-webapi/src/main/java/org/sonar/server/component/ws/SearchProjectsAction.java                                                                                                           88             22            623
./server/sonar-webserver/src/main/java/org/sonar/server/platform/platformlevel/PlatformLevel4.java                                                                                                              77             72            622
./sonar-sarif/build/generated-sources/js2p/org/sonar/sarif/pojo/Invocation.java                                                                                                                                 87            344            620
./server/sonar-ce-task-projectanalysis/src/test/java/org/sonar/ce/task/projectanalysis/issue/IssueCounterTest.java                                                                                             111             41            619
./server/sonar-telemetry/src/it/java/org/sonar/telemetry/legacy/TelemetryDataLoaderImplIT.java                                                                                                                 125             28            616
./server/sonar-db-dao/build/generated/source/proto/main/java/org/sonar/db/protobuf/DbCommons.java                                                                                                               59            286            614
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/project/ws/UpdateVisibilityActionIT.java                                                                                                          104             20            599
./server/sonar-ce-task-projectanalysis/src/it/java/org/sonar/ce/task/projectanalysis/filemove/FileMoveDetectionStepIT.java                                                                                      85             31            596
./server/sonar-ce-task-projectanalysis/src/it/java/org/sonar/ce/task/projectanalysis/step/SendIssueNotificationsStepIT.java                                                                                     87             31            596
./server/sonar-webserver-common/src/it/java/org/sonar/server/common/rule/RuleCreatorIT.java                                                                                                                     97             61            595
./server/sonar-webserver-es/src/main/java/org/sonar/server/issue/index/IssueQuery.java                                                                                                                         127             48            592
./server/sonar-alm-client/src/test/java/org/sonar/alm/client/gitlab/GitlabApplicationClientTest.java                                                                                                           115             19            586
./server/sonar-server-common/src/it/java/org/sonar/server/issue/index/IssueIndexerIT.java                                                                                                                      126             43            586
./sonar-core/src/main/java/org/sonar/core/issue/DefaultIssue.java                                                                                                                                              140             51            584
./server/sonar-webserver-auth/src/it/java/org/sonar/server/user/ServerUserSessionIT.java                                                                                                                       192             50            577
./server/sonar-ce/src/it/java/org/sonar/ce/queue/InternalCeQueueImplIT.java                                                                                                                                    126             36            573
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/hotspot/ws/ChangeStatusActionIT.java                                                                                                               94             22            571
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/issue/IssueChangeWSSupportIT.java                                                                                                                  75             25            571
./server/sonar-db-dao/src/it/java/org/sonar/db/property/InternalPropertiesDaoIT.java                                                                                                                           127             19            565
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/component/ws/SuggestionsActionIT.java                                                                                                             120             34            565
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/ce/ws/ActivityActionIT.java                                                                                                                       104             26            561
./server/sonar-main/src/test/java/org/sonar/application/config/ClusterSettingsTest.java                                                                                                                         96             23            553
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Navigation.java                                                                                                                              50            109            553
